a_AssetID,Phase,i_Identifier,a_Title_Series,a_Title_Episode,a_Date,a_DateType,a_Description,i_Transfer Date,Transfer_Deck,i_TransferNotes,i_FormatPhysical,i_FormatMediaType,i_FormatGeneration,i_ChannelConfiguation,i_Speed,i_Duration,i_Location,i_Box,a_DigitalStorageLocation,a_DigitalStorageLocation copy,Size of AIP (in gb),QC & Caption Notes,a_Description_Type,QC Pass Date,i_Stock,i_Brand,i_CreatorID,i_Date,i_DateType,a_AssetType,i_ConditionNotes,a_Contributers,ia upload,youtube,not in filemaker,cannot be digitized,Rights,CaptionFile,Base,Institution,Collections,Collections 2,formula,Digitized,PsC - Original Tape ID,PsC - Original Label (if different),PsC - Original Date,PsC - Additional Notes on Metadata,On Hold Notes,Transfer Technician,a_Title_Spanish,a_Episode_Number,PcS - CUNY-TV Asset ID on Cassette,Extent
BCSPA106,Completed for Project,BCL03378,Baruch College Special,Is American Justice for Sale?,2009-09-17,Created,"Taped at the Newman Conference Center at Baruch College, Sept. 17, 2009. 

Efforts to preserve this program were made possible by ""Uncovering CUNY's Audiovisual Heritage,"" a project funded by Council on Library and Information Resources (CLIR).",2020-10-21,,,Betacam SP,Moving Image,Moving image/Master,,,,BOX:BCLB000242 LOC:A3,,E/F00142,0,,,Episode,,,,,2009-09-16,Created,,,,checked,,,,,,,Baruch College Special,,,recuhJR5LDfjWDJJD,1,,,,,,,,,,1
BCSPA107,Completed for Project,BCL03375,Baruch College Special,Unemployment Tops 10%: Where Can We Turn,2009-11-10,Created,"Speaker: Deputy Mayor Rob Lieber

Taped Nov. 10, 2009

Efforts to preserve this program were made possible by ""Uncovering CUNY's Audiovisual Heritage,"" a project funded by Council on Library and Information Resources (CLIR).",2020-10-21,,,Betacam SP,Moving Image,Moving image/Master,,,,BOX:BCLB000242 LOC:A3,,E/F00142,0,,,Episode,,,,,2009-11-09,Created,,,,checked,,,,,,,Baruch College Special,,,recae7WtuPFEo1Zq0,1,,,,,,,,,,1
BCSPA108,Completed for Project,BCL03374,Baruch College Special,Accounting at a Tipping Point,2009-10-26,Created,"Speaker: Susan F. Hake

Taped Oct. 26, 2009

Efforts to preserve this program were made possible by ""Uncovering CUNY's Audiovisual Heritage,"" a project funded by Council on Library and Information Resources (CLIR).",2021-01-01,,,Betacam SP,Moving Image,Moving image/Master,,,,BOX:BCLB000242 LOC:A3,,E/F00142,0,,,Episode,,,,,2009-10-25,Created,,,,checked,,,,,,,Baruch College Special,,,recMdeDxhmIrbHSbd,1,,,,,,,,,,1
BCSPA109,Completed for Project,BCL00070,Baruch College Special,Forging Ahead: Small Business Assistance Forum,2009-11-20,Created,"Mod.: Brian Tracey

Taped Nov. 20, 2009

Efforts to preserve this program were made possible by ""Uncovering CUNY's Audiovisual Heritage,"" a project funded by Council on Library and Information Resources (CLIR).",2020-10-29,Digibeta VR20,Set to bars/tone but adjusted Hue a tiny bit to fix flesh tone,Betacam SP,Moving Image,Moving image/Master,,,,BOX:BCLB000005 LOC:D1,,E/F00142,0,,,Episode,,,,,2009-11-19,Created,,,,checked,,,,,,,Baruch College Special,,,recD3sAPZeIRnJ3u2,1,,,,,,,,,,1
BCSPA110,Completed for Project,BCL03361,Baruch College Special,Altered Political Landscape: City Hall 2010,2009-12-08,Created,"Mod.: Doug Muzzio. Panel: Nicole Gelinas, Erica González, Clyde Haberman, Errol Lewis, Tom Robbins

Taped Dec. 8, 2009

Efforts to preserve this program were made possible by ""Uncovering CUNY's Audiovisual Heritage,"" a project funded by Council on Library and Information Resources (CLIR).",2020-10-08,,,Betacam SP,Moving Image,Moving image/Master,,,,BOX:BCLB000241 LOC:B2,,E/F00142,0,,,Episode,,,,,2009-12-07,Created,,,,checked,,,,,,,Baruch College Special,,,rec8N40d8JwYXe1AE,1,,,,,,,,,,1
BCSPA111,Completed for Project,BCL03346,Baruch College Special,Paul Krugman: Are We Getting the Change We Need,2009-12-09,Created,"Speaker: Paul Krugman, Op-Ed columnist, The New York Times

Taped Dec. 9, 2009

Efforts to preserve this program were made possible by ""Uncovering CUNY's Audiovisual Heritage,"" a project funded by Council on Library and Information Resources (CLIR).",2021-01-01,,,Betacam SP,Moving Image,Moving image/Master,,,,BOX:BCLB000240 LOC:B3,,E/F00142,0,,,Episode,,,,,2009-12-08,Created,,,,checked,,,,,,,Baruch College Special,,,recxZSnWLJDhbsZvw,1,,,,,,,,,,1
BCSPA112,Completed for Project,BCL03345,Baruch College Special,Weissman Talks: Theodore Bikel,2009-11-11,Created,"Dean Jeffrey Peck & Theodore Bikel

Taped Nov. 11, 2009

Efforts to preserve this program were made possible by ""Uncovering CUNY's Audiovisual Heritage,"" a project funded by Council on Library and Information Resources (CLIR).",2020-10-28,,,Betacam SP,Moving Image,Moving image/Master,,,,BOX:BCLB000239 LOC:M1,,E/F00142,0,,,Episode,,,,,2009-11-10,Created,,,,checked,,,,,,,Baruch College Special,,,recwR2LIrnnhbrmDb,1,,,,,,,,,,1
BCSPA113,Completed for Project,SXL01278,Baruch College Special,"Transformational Infrastructure: Key Decisions on Transportation That Will Shape the NY Metro Region's Real Estate Future, Pt. ",2009-10-23,Created,"Taped October 23, 2009

Efforts to preserve this program were made possible by ""Uncovering CUNY's Audiovisual Heritage,"" a project funded by Council on Library and Information Resources (CLIR).",2020-11-11,Digibeta VR19,Perfect bars/tone situation (tone may be a tad hot). ,Betacam SP,Moving Image,Moving image/Master,,,,BOX:SXLB000092 LOC:N4,,E/F00142,0,,"looks good
00:01:33.694
01:00:49.779",Episode,11/12/2020,,,,2009-10-22,Created,,,,checked,,,,,,,Baruch College Special,,,recRb5m8MtYRvE6IX,1,,,,,,,,,,1
BCSPA114,Completed for Project,SXL01277,Baruch College Special,"Transformational Infrastructure: Key Decisions on Transportation That Will Shape the NY Metro Region's Real Estate Future, Pt. ",2009-10-23,Created,"Taped October 23, 2009

Efforts to preserve this program were made possible by ""Uncovering CUNY's Audiovisual Heritage,"" a project funded by Council on Library and Information Resources (CLIR).",2020-11-11,Digibeta VR20,Near perfect NTSC bars/tones experience. ,Betacam SP,Moving Image,Moving image/Master,,,,BOX:SXLB000092 LOC:N4,,E/F00142,0,,"00:01:40.634
01:01:07.964",Episode,11/13/2020,,,,2009-10-22,Created,,,,checked,,,,,,,Baruch College Special,,,recYjOBvKPJ3EU75h,1,,,,,,,,,,1
BCSPA115,Completed for Project,BCL03370,Baruch College Special,Louis Braille: A Touch of Genius,2009-12-03,Created,"Guest: C. Michael Mellor

Taped Dec. 3, 2009

Efforts to preserve this program were made possible by ""Uncovering CUNY's Audiovisual Heritage,"" a project funded by Council on Library and Information Resources (CLIR).",2020-10-14,,,Betacam SP,Moving Image,Moving image/Master,,,,BOX:BCLB000241 LOC:B2,,E/F00142,0,,,Episode,,,,,2009-12-02,Created,,,,checked,,,,,,,Baruch College Special,,,recXDdgsiNYb3l6GQ,1,,,,,,,,,,1
BCSPA116,Completed for Project,BCL03372,Baruch College Special,Charting New York City's Future,2010-02-09,Created,"Charting New York City's Future"" Charter Revision 2010"", Panel: Stephen Fialla, Ester Fuchs, Eric Lane, William C. Thompson. Taped Feb. 9, 2010",2021-01-01,,,Betacam SP,Moving Image,Moving image/Master,,,,BOX:BCLB000241 LOC:B2,,E/F00027,0,,,Episode,,,,,2010-02-08,Created,,,,checked,,,,,,,Baruch College Special,,,reccGlJKRm263rwX0,1,,,,,,,,,,1
BCSPA117,Completed for Project,BCL03353,Baruch College Special,"Sustainability 2.0: Envisioning Business & the Urban Environment, Part 1: Water",2010-11-06,Created,"Panel: Paul S. Mankiewicz, Ph.D., Gary Rancourt, Beht Sauerhaft

Taped Nov. 6, 2010

Efforts to preserve this program were made possible by ""Uncovering CUNY's Audiovisual Heritage,"" a project funded by Council on Library and Information Resources (CLIR).",2020-10-28,,,Betacam SP,Moving Image,Moving image/Master,,,,BOX:BCLB000240 LOC:B3,,E/F00142,0,,,Episode,,,,,2010-11-05,Created,,,,checked,,,,,,,Baruch College Special,,,recRP3hL0JE2O3DDN,1,,,,,,,,,,1
BCSPA118,Completed for Project,BCL03352,Baruch College Special,"Sustainability 2.0: Envisioning Business & the Urban Environment, Part 2: Energy",2010-11-06,Created,"Moderator: Jack S. Nyman (Director, The Steven L. Newman Real Estate Institute)
Speakers: Michael P. Davidson (Senior V.P., Corporate Workplace Executive, Bank of America), Robert F. Fox, Jr. (Senior Partner, Cook + Fox Architects LLP), Scott E. Frank (Partner, Jaros Baum & Bolles), Amanda Kaminsky (Sustainable Construction Manager, One Bryant Park)

Taped Nov. 6, 2010

Efforts to preserve this program were made possible by ""Uncovering CUNY's Audiovisual Heritage,"" a project funded by Council on Library and Information Resources (CLIR). ",2021-01-01,,,Betacam SP,Moving Image,Moving image/Master,,,,BOX:BCLB000240 LOC:B3,,E/F00027,0,,,Episode,,,,,2010-11-05,Created,,,,checked,,,,,,,Baruch College Special,,,recfA1RRwbMhf3BCa,1,,,,,,,,,,1
BCSPA119,Completed for Project,BCL03349,Baruch College Special,"Sustainability 2.0: Envisioning Business & the Urban Environment, Part 2: Real Estate",2010-11-06,Created,"Moderator: Jack S. Nyman (Director, The Steven L. Newman Real Estate Institute)
Speakers: Michael P. Davidson (Senior V.P., Corporate Workplace Executive, Bank of America), Robert F. Fox, Jr. (Senior Partner, Cook + Fox Architects LLP), Scott E. Frank (Partner, Jaros Baum & Bolles), Amanda Kaminsky (Sustainable Construction Manager, One Bryant Park)

Efforts to preserve this program were made possible by ""Uncovering CUNY's Audiovisual Heritage,"" a project funded by Council on Library and Information Resources (CLIR).",2021-01-01,,,Betacam SP,Moving Image,Moving image/Master,,,,BOX:BCLB000240 LOC:B3,,E/F00059,0,,,Episode,,,,,2010-11-05,Created,,,"Nyman, Jack S. ; Davidson, Michael P. ; Fox, Robert; Frank, Scott E. ; Kaminsky, Amanda",checked,,,,,,,Baruch College Special,,,rec7urOFF9NFLXXbu,1,,,,,,,,,,1
BCSPA120,Completed for Project,BCL03355,Baruch College Special,The David Berg Foundation Series on Ethics and Accountability: Google vs. China,2010-03-23,Created,"Moderator: Donald H. Schepers (Director, The Robert Zicklin Center for Corporate Integrity)

Panelists: Devin Stewart (Director, Global Policy Initiatives, Carnegie Council), Zachary Karabell (President, River Twice Research), Joey Lee (Robert L. Bernstein Fellow in International Human Rights)

Taped March 23rd, 2010, at Baruch College
",2021-01-01,,,Betacam SP,Moving Image,Moving image/Master,,,,BOX:BCLB000240 LOC:B3,,E/F00023,0,,,Episode,,,,,2010-03-22,Created,,,,checked,,,,,,,Baruch College Special,,,recrRX9frOKsVE4i6,1,,,,,,,,,,1
BCSPA121,Completed for Project,BCL03351,Baruch College Special,The Big Countdown: Census 2010,2010-03-25,Created,"Moderator: Doug Muzzio (Baruch College)

Panelists: Tony Farthing (Regional Director, U.S. Census Bureau), Sam Roberts (Urban Affairs Correspondent, The New York Times), Stacey Cumberbatch (New York City Census Coordinator), Seema Agnani (Executive Director, Chhaya CDC), Angelo Falcón (President, National Institute for Latino Policy), Joseph Salvo (Director, Population Division, NYC Department of City Planning)

This program is co-sponsored by The Mexican-American Students Alliance. Taped at Baruch College on March 25th, 2010. 

Efforts to preserve this program were made possible by ""Uncovering CUNY's Audiovisual Heritage,"" a project funded by Council on Library and Information Resources (CLIR).",2021-01-01,,,Betacam SP,Moving Image,Moving image/Master,,,,BOX:BCLB000240 LOC:B3,,E/F00023,0,,,Episode,,,,,2010-03-24,Created,,,,checked,,,,,,,Baruch College Special,,,rec6pU2ATN6r2yaNf,1,,,,,,,,,,1
BCSPA122,Completed for Project,BCL03350,Baruch College Special,"Shanghai Skyline, Part 1: KPF in Shanghai, Skyline and Streetscape",2009-10-27,Created,"Panel: William Peddersen, James von Klemperer. Mod.: Clifford Pearson

Taped Oct. 27, 2009

Efforts to preserve this program were made possible by ""Uncovering CUNY's Audiovisual Heritage,"" a project funded by Council on Library and Information Resources (CLIR).",2020-10-28,,,Betacam SP,Moving Image,Moving image/Master,,,,BOX:BCLB000240 LOC:B3,,E/F00142,0,,,Episode,,,,,2009-10-26,Created,,,,checked,,,,,,,Baruch College Special,,,recf3opoBRSREJGMo,1,,,,,,,,,,1
BCSPA123,Completed for Project,BCL03373,Baruch College Special,"Shanghai Skyline, Part 2: Preserving Shanghai: Modernizing Urban Identity",2009-11-24,Created,"""Shanghai Skyline, Pt. 2: Preserving Shanghai: Modernizing Urban Identity"", Panel: Carrol Willis, Jack Nyman. Mod.: Clifford Pearson. Taped Nov. 24, 2009",2020-10-08,,,Betacam SP,Moving Image,Moving image/Master,,,,BOX:BCLB000241 LOC:B2,,E/F00142,0,,,Episode,,,,,2009-11-23,Created,,,,checked,,,,,,,Baruch College Special,,,recQiMM3byaTev0cx,1,,,,,,,,,,1
BCSPA124,Completed for Project,BCL03342,Baruch College Special,A Reading and Conversation with Major Jackson,2010-03-16,Created,"Taped March 16, 2010

Efforts to preserve this program were made possible by ""Uncovering CUNY's Audiovisual Heritage,"" a project funded by Council on Library and Information Resources (CLIR).",2021-01-01,,,Betacam SP,Moving Image,Moving image/Master,,,,BOX:BCLB000239 LOC:M1,,E/F00146,0,61.2,,Episode,,,,,2010-03-15,Created,,,,checked,,,,,,,Baruch College Special,,,rec68eUFRom12R5PD,1,,,,,,,,,,1
BCSPA125,Completed for Project,BCL03347,Baruch College Special,'Good' Fraud Management,2010-03-17,Created,"""'Good' Fraud Management"" Speaker: Jonny Frank. Taped March 17, 2010",2020-10-28,,,Betacam SP,Moving Image,Moving image/Master,,,,BOX:BCLB000240 LOC:B3,,E/F00146,0,62.7,,Episode,,,,,2010-03-16,Created,,,,checked,,,,,,,Baruch College Special,,,recF3nW9rAQXQemyj,1,,,,,,,,,,1
BCSPA126,Completed for Project,BCL03380,Baruch College Special,Reconsidering Gowanus: A Topic Important to Brooklyn and Greater New York,2010-05-12,Created,"""Reconsidering Gowanus: A Topic Important to Brooklyn and Greater New York""  Taped May 12, 2010",2021-01-01,,,Betacam SP,Moving Image,Moving image/Master,,,,BOX:BCLB000242 LOC:A3,,E/F00146,0,94.5,,Episode,,,,,2010-05-11,Created,,,,checked,,,,,,,Baruch College Special,,,recdgjaqqJHdSTIsl,1,,,,,,,,,,1
BCSPA127,Completed for Project,BCL03340,Baruch College Special,College Affordability: Expanding Access and Financial Resources During Tough Economic Times,2010-03-22,Created,"Moderator: Sonia R. Jarvis

Taped March 22, 2010

Efforts to preserve this program were made possible by ""Uncovering CUNY's Audiovisual Heritage,"" a project funded by Council on Library and Information Resources (CLIR).",2020-10-26,,,Betacam SP,Moving Image,Moving image/Master,,,,BOX:BCLB000239 LOC:M1,,E/F00142,0,,,Episode,,,,,2010-03-21,Created,,,,checked,,,,,,,Baruch College Special,,,recvtZrOFyDJek7EF,1,,,,,,,,,,1
BCSPA128,Completed for Project,BCL03341,Baruch College Special,To Be or Not to Be: Are the Offices of Public Advocate and Borough President Necessary,2010-06-02,Created,"Panel: Mark Green, Kenneth Knuckles, Eric Lane, Marty Markowitz. Mod.: Peter F. Vallone Sr. 

Taped June 2, 2010

Efforts to preserve this program were made possible by ""Uncovering CUNY's Audiovisual Heritage,"" a project funded by Council on Library and Information Resources (CLIR).",2021-01-01,,,Betacam SP,Moving Image,Moving image/Master,,,,BOX:BCLB000239 LOC:M1,,E/F00142,0,,,Episode,,,,,2010-06-01,Created,,,,checked,,,,,,,Baruch College Special,,,recCNzWspSwQA9DfI,1,,,,,,,,,,1
BCSPA129,Completed for Project,BCL03343,Baruch College Special,"Airports: 21st Century Makeovers for the New York Metro Region, Part 1",2010-06-14,Created,"Taped June 14, 2010 at Baruch College. 

Efforts to preserve this program were made possible by ""Uncovering CUNY's Audiovisual Heritage,"" a project funded by Council on Library and Information Resources (CLIR).

",2021-01-01,,,Betacam SP,Moving Image,Moving image/Master,,,,BOX:BCLB000239 LOC:M1,,E/F00146,0,59.5,,Episode,,,,,2010-06-13,Created,,,,checked,,,,,,,Baruch College Special,,,recMMz363rk6akToR,1,,,,,,,,,,1
BCSPA130,Completed for Project,BCL03344,Baruch College Special,"Airports: 21st Century Makeovers for the New York Metro Region, Part 2",2010-06-14,Created,"Taped June 14, 2010

Efforts to preserve this program were made possible by ""Uncovering CUNY's Audiovisual Heritage,"" a project funded by Council on Library and Information Resources (CLIR).",2020-10-26,,,Betacam SP,Moving Image,Moving image/Master,,,,BOX:BCLB000239 LOC:M1,,E/F00142,0,,,Episode,,,,,2010-06-13,Created,,,,checked,,,,,,,Baruch College Special,,,rec7tEFB3bdgXOcg0,1,,,,,,,,,,1
BCSPA131,Completed for Project,BCL03354,Baruch College Special,Freight and Our Region's Future: A Call to Action,2010-06-23,Created,"Speaker: Christopher O. Ward

Taped June 23, 2010

Efforts to preserve this program were made possible by ""Uncovering CUNY's Audiovisual Heritage,"" a project funded by Council on Library and Information Resources (CLIR).",2020-10-28,,,Betacam SP,Moving Image,Moving image/Master,,,,BOX:BCLB000240 LOC:B3,,E/F00142,0,,,Episode,,,,,2010-06-22,Created,,,,checked,,,,,,,Baruch College Special,,,recvcWXXCo4p40nv1,1,,,,,,,,,,1
BCSPA132,Completed for Project,BCL03358,Baruch College Special,Pork Barrel Spending: Are Earmarks Kosher? ,2010-10-12,Created,"Speakers: David Birdsell, Peter F. Vallone, Sr., David I. Weprin, Carol Kellermann, Nicole P. Marwell, Melissa Mark-Viverito. 

Efforts to preserve this program were made possible by ""Uncovering CUNY's Audiovisual Heritage,"" a project funded by Council on Library and Information Resources (CLIR).",2021-01-01,,,Betacam SP,Moving Image,Moving image/Master,,,,BOX:BCLB000240 LOC:B3,,E/F00059,0,,,Episode,,,,,2010-10-11,Created,,,"Birdsell, David; Vallone, Peter; Weprin, David; Kellermann, Carol; Marwell, Nicole; Mark-Viverito, Melissa",checked,checked,,,,,,Baruch College Special,,,rec8RATrqphnevykJ,1,,,,,,,,,,1
BCSPA133,Completed for Project,BCL03360,Baruch College Special,The Ground Zero Mosque: To Build or Not To Build? ,2010-11-09,Created,"This content contains discussion of discriminatory attitudes or actions, such as sexism or racism. 

Baruch College School of Public Affairs presents the Lillie and Nathan Ackerman Lecture Series on Equality and Justice in America. On the anniversary of the 9/11 attacks on the World Trade Center, Kenneth Marcus (Visiting Ackerman Professor, School of Public Affairs) moderates a lively panel discussion on Park51, a controversial Muslim community center and mosque. Park51 was proposed for development in 2010 to replace a building near Ground Zero that was damaged in the attack. The discussion becomes heated over racial classifications that describe Islamic populations. Panelists include Reverend Chloe Breyer (Interfaith Center of New York), Rabbi David Ellenson (Hebrew Union College-Jewish Institute of Religion), Ryan Mahoney (Council on American-Islamic Relations), and Jonathan Tobin (Editor in Chief, Commentary Magazine). David Birdsell (Dean, Baruch College School of Public Affairs) gives opening remarks, and Marianne Engelman-Lado (Staff Attorney, Earth Justice) introduces the lecture series and the panelists. 

This program was digitized, captioned, and made accessible in 2021 as part of ""Uncovering CUNY'S Audiovisual Heritage,"" a preservation project funded by Council on Library and Information Resources (CLIR). ",2020-10-14,,,Betacam SP,Moving Image,Moving image/Master,,,59:03,BOX:BCLB000241 LOC:B2,,E/F00142,0,,,Episode,1/20/2021,,,,2010-11-08,Created,,,"David Birdsell, Reverend Chloe Breyer, Rabbi David Ellenson, Marianne Engelman-Lado, Kenneth L. Marcus, Ryan Mahoney, Jonathan Tobin",checked,checked,,,,BCSPA133.vtt (https://dl.airtable.com/.attachments/034b57049c77b8668863fc2a0990ac67/7a0c7200/BCSPA133.vtt),,Baruch College Special,,,recjlHPz3RKgEI6z1,1,,,,,,,,,,1
BCSPA134,Completed for Project,BCL03357,Baruch College Special,Jewish Immigration to New York,2010-11-10,Created,"Speakers: Jeffrey M. Peck, Mitchel Wallerstein, Richard M. Joel, Jessica Lang, Charles R. Dreifus, Feliks Frenkel, Alissa Shams, S. David Moche, Nazee Moinian, Dov C. Shlein

Taped Nov. 10, 2010

Efforts to preserve this program were made possible by ""Uncovering CUNY's Audiovisual Heritage,"" a project funded by Council on Library and Information Resources (CLIR).
",2021-01-01,,,Betacam SP,Moving Image,Moving image/Master,,,,BOX:BCLB000240 LOC:B3,,E/F00059,0,,,Episode,,,,,2010-11-09,Created,,,"Peck, Jeffrey; Wallerstein, Mitchel B. ; Joel, Richard; Lange, Jessica; Dreifus, Claudia; Frenkel, Feliks; Shams, Alissa; Moche, S. David; Moinian, Joseph; Schlein, Dov C. ",checked,,,,,,,Baruch College Special,,,rec0b51GlzOwtmLaF,1,,,,,,,,,,1
BCSPA135,Completed for Project,BCL03359,Baruch College Special,The BP Disaster and the Future of the Energy Business,2010-11-18,Created," Speaker: Steven Mufson. Taped Nov. 18, 2010

Efforts to preserve this program were made possible by ""Uncovering CUNY's Audiovisual Heritage,"" a project funded by Council on Library and Information Resources (CLIR).",2021-01-01,,,Betacam SP,Moving Image,Moving image/Master,,,,BOX:BCLB000240 LOC:B3,,E/F00023,0,,,Episode,,,,,2010-11-17,Created,,,,checked,,,,,,,Baruch College Special,,,recgZVgOaeP4oOJ99,1,,,,,,,,,,1
BCSPA136,Completed for Project,BCL03383,Baruch College Special,"Public Management and the Lindsay Years (1966-1973), Part 1: Pre-Lindsay Years and the State of the Nation and NYC",2010-09-29,Created,"This video is part one of a multi-part series of a two-day symposium ""Public Management and the Lindsay Years (1966-1973)"", presented by Baruch College School of Public Affairs in collaboration with the Museum of the City of New York on September 29 and 30, 2010. 

In the first session, Baruch College President Emeritus and Professor Stan Altman introduces the symposium and encapsulates the era leading up to the first term of the Lindsay administration. Peter C. Goldmark, Lindsay's former Chief of Staff, highlights Lindsay's efforts at recruiting young talent, particularly Fred Hayes as the city's budget director. The final speaker is Jay Kriegel, 25 years old when he served as one of Lindsay's top aides. Kriegel recounts Lindsay's reforms in a wide range of areas from criminal justice to public parks. 

This program was digitized, captioned, and made accessible in 2021 as part of ""Uncovering CUNY'S Audiovisual Heritage,"" a preservation project funded by Council on Library and Information Resources (CLIR). ",2020-10-21,Digibeta VR18,,Betacam SP,Moving Image,Moving image/Master,,,58:21,BOX:BCLB000242 LOC:A3,,E/F00142,0,,,Episode,12/14/2020,,,,2010-09-28,Created,,,"Stan Altman, Peter C. Goldmark, Jay Kriegel",checked,checked,,,,BCSPA136.srt (https://dl.airtable.com/.attachments/31e688c89c44029b1b68487da8a7d63d/910bbf78/BCSPA136.srt),,Baruch College Special,,,recinv8SAfQypAecS,1,,,,,,,,,,1
BCSPA137,Completed for Project,BCL03392,Baruch College Special,"Public Management and the Lindsay Years (1966-1973), Part 2: A Historical Context and Structural Perspective of the Factors that Led to the 1975 NYC Fiscal Crisis",2010-09-29,Created,"This video is part two of a multi-part series of a two-day symposium ""Public Management and the Lindsay Years (1966-1973)"", presented by Baruch College School of Public Affairs in collaboration with the Museum of the City of New York on September 29 and 30, 2010.

Professor Ester R. Fuchs from Columbia University provides a historical context and structural perspective of the factors that led to the 1975 New York City's fiscal crisis. Professor Fuchs is introduced by Stan Altman, symposium organizer, Professor of School of Public Affairs and Director of American Humanics at Baruch College.

This program was digitized, captioned, and made accessible in 2021 as part of ""Uncovering CUNY'S Audiovisual Heritage,"" a preservation project funded by Council on Library and Information Resources (CLIR). 
",2020-10-19,Digibeta VR17,,Betacam SP,Moving Image,Moving image/Master,,,58:21,BOX:BCLB000243 LOC:Q1,,E/F00142,0,,,Episode,11/4/2020,,,,2010-09-28,Created,,,Stan Altman; Ester R. Fuchs,checked,checked,,,,BCSPA137.srt (https://dl.airtable.com/.attachments/1ba0724351abf2b97648c47c1169678e/7904c9ea/BCSPA137.srt),,Baruch College Special,,,receXllFGmCF90Vwi,1,,,,,,,,,,1
BCSPA138,Completed for Project,BCL03393,Baruch College Special,"Public Management and the Lindsay Years (1966-1973), Part 3: The NYC Productivity Program",2010-09-29,Created,"This video is part three of a multi-part series of a two-day symposium ""Public Management and the Lindsay Years (1966-1973)"", presented by Baruch College School of Public Affairs in collaboration with the Museum of the City of New York on September 29 and 30, 2010.

The panel discusses the NYC Productivity Program, its impact on NYC and the development of a productivity bargaining strategy as well as national productivity efforts. Participants explore the relationship between the productivity programs and the current emphasis on performance programs and outcome assessments.
The panel is moderated by Marc Holzer (Dean, Rutgers School of Public Affairs & Administration). Panelists include Edward Hamilton (Deputy Mayor in Lindsay's Administration) and Barbara J. Cohn (Vice President, The Fund for the City of New York). 

The event is introduced by Stan Altman, symposium organizer, Professor of School of Public Affairs and Director of American Humanics at Baruch College.

This program was digitized, captioned, and made accessible in 2021 as part of ""Uncovering CUNY'S Audiovisual Heritage,"" a preservation project funded by Council on Library and Information Resources (CLIR). 
",2020-12-29,Digibeta VR17,"This is a retransfer from October, I think I lost it somewhere. I kept the bars/tone, no additional adjustments. ",Betacam SP,Moving Image,Moving image/Master,,,59:31,BOX:BCLB000243 LOC:Q1,,E/F00154,0,65.3,There is something wrong with the MP4. It crashes near the end. Not sure if this was on the original tape - need to check. Most of the SRT is complete. I might have to RETRANSFER AGAIN??? I retransferred and re-ingested on 12/30/2020. ,Episode,12/30/2020,,,,2010-09-28,Created,,,"Stan Altman, Marc Holzer, Edward Hamilton, Barbara Cohn",checked,checked,,,,BCSPA138.srt (https://dl.airtable.com/.attachments/f422bd8c1301d489381500c09fcdefd4/46b51a49/BCSPA138.srt),,Baruch College Special,,,recYBajQrgZwecI9x,1,,,,,,,,,,1
BCSPA139,Completed for Project,BCL03382,Baruch College Special,"Public Management and the Lindsay Years (1966-1973), Part 4: Health Policy and Management During the Lindsay Years",2010-09-29,Created,"This video is part four of a multi-part series of a two-day symposium ""Public Management and the Lindsay Years (1966-1973)"", presented by Baruch College School of Public Affairs in collaboration with the Museum of the City of New York on September 29 and 30, 2010.

This session is about health policy and management during the Lindsay years. 

Panelists include:

Joan M. Leiman, Chief of Staff to the President & CEO, New York Presbyterian Hospital & Healthcare System, Lindsay's Assistant Budget Director. Leiman introduces the panel and later discusses the administration's move to replace the Department of Health with a quasi public agency, NYC Health and Hospitals Corporation. 

Jim Kagen, Consulting Director at The Chartis Group, Lindsay's First Commissioner of NYC Health Department. Kagen focuses on progressives efforts of the administration to enhance physical and mental health services for prisoners, protect children from lead poisoning, and survey abortion services (which became legal in NY State during the Lindsay years). 

Robert Newman, President Emeritus, Continuum Health Partners, Lindsay's Assistant Commissioner of NYC Health Department. Newman discusses his work with providing addiction and ambulatory detox services and the successes that followed. 

The speakers are introduced by Stan Altman, symposium organizer, Professor of School of Public Affairs and Director of American Humanics at Baruch College.

Efforts to preserve this program were made possible by ""Uncovering CUNY's Audiovisual Heritage,"" a project funded by Council on Library and Information Resources (CLIR).

",2020-10-26,Digibeta VR17,,Betacam SP,Moving Image,Moving image/Master,,,58:34,BOX:BCLB000242 LOC:A3,,E/F00146,0,64.0,,Episode,12/12/2020,,,,2010-09-28,Created,,,"Stan Altman, Joan Leiman, Jim Kagen, Robert Newman",checked,,,,,BCSPA139.srt (https://dl.airtable.com/.attachments/af96e9cea720e0037970b2932ed528c6/6eb09ee6/BCSPA139.srt),,Baruch College Special,,,rechA23TBYIUvyml6,1,,,,,,,,,,1
BCSPA140,Completed for Project,"BCSPA140, 00031252, BCL03394",Baruch College Special,"Public Management and the Lindsay Years (1966-1973), Part 6 of 9",,,This is the same content as BCSPA142 and was not further described. ,2020-10-21,Digibeta VR18,rainbow moire effects spike tout and sat,,,,,,,BOX:BCLB000243 LOC:Q1,,E/F00142,0,,,,10/28/2020,,,,,,,,"Altman, Stan; Feldstein; Hammerman, Craig; Viteritti, Joseph",,,,checked,,,,Baruch College Special,,,recoKhW09kCJ1KaA7,1,,,,,,,,,,1
